ID;event;event_number;mp;Source;lineupcat_id;event_number_old;event_number_new
HCME_A__20200415_01;0;1;0;-;MULTI_2020-04-14_01;116;147
2020-04-14T21:54:00-CME-001;3;1;0;-;MULTI_2020-04-14_01;116;147
ICME_SOLO_MOESTL_20200419_01;1;1;1;-;MULTI_2020-04-14_01;116;147
ICME_Wind_MOESTL_20200420_01;1;1;1;-;MULTI_2020-04-14_01;116;147
ICME_BEPI_MOESTL_20200420_01;1;1;1;-;MULTI_2020-04-14_01;116;147
HCME_A__20200526_01;0;2;0;S40W05;MULTI_2020-05-26_01;115;146
2020-05-26T00:39:00-CME-001;3;2;0;S40W05;MULTI_2020-05-26_01;115;146
ICME_Wind_MOESTL_20200529_01;1;2;2;S40W05;MULTI_2020-05-26_01;115;146
ICME_BEPI_MOESTL_20200529_01;1;2;2;S40W05;MULTI_2020-05-26_01;115;146
HCME_A__20200527_01;0;3;0;-;MULTI_2020-05-27_01;114;145
2020-05-30T02:12:00-CME-001;3;3;0;-;MULTI_2020-05-27_01;114;145
ICME_STEREO_A_MOESTL_20200603_01;1;3;0;-;MULTI_2020-05-27_01;114;145
HCME_A__20200623_01;0;4;0;S20W08;MULTI_2020-06-22_01;113;144
2020-06-22T15:09:00-CME-001;3;4;0;S20W08;MULTI_2020-06-22_01;113;144
ICME_PSP_MOESTL_20200625_01;1;4;3;S20W08;MULTI_2020-06-22_01;113;144
ICME_BEPI_MOESTL_20200629_01;1;4;3;S20W08;MULTI_2020-06-22_01;113;144
ICME_Wind_MOESTL_20200630_01;1;4;3;S20W08;MULTI_2020-06-22_01;113;144
HCME_A__20200706_01;0;5;0;-;MULTI_2020-07-05_01;112;143
2020-07-05T14:24:00-CME-001;3;5;0;-;MULTI_2020-07-05_01;112;143
ICME_STEREO_A_MOESTL_20200709_01;1;5;0;-;MULTI_2020-07-05_01;112;143
HCME_A__20200709_01;0;6;0;-;MULTI_2020-07-09_01;111;142
ICME_Wind_MOESTL_20200713_01;1;6;0;-;MULTI_2020-07-09_01;111;142
HCME_A__20200719_01;0;7;0;-;MULTI_2020-07-19_01;110;141
ICME_BEPI_MOESTL_20200723_01;1;7;4;;MULTI_2020-07-19_01;110;141
ICME_Wind_MOESTL_20200724_01;1;7;4;-;MULTI_2020-07-19_01;110;141
HCME_A__20200816_01;0;8;0;S30E30;MULTI_2020-08-16_01;109;140
2020-08-16T18:24:00-CME-001;3;8;0;S30E30;MULTI_2020-08-16_01;109;140
ICME_STEREO_A_MOESTL_20200819_01;1;8;0;S30E30;MULTI_2020-08-16_01;109;140
HCME_A__20200908_01;0;9;0;N00W40;MULTI_2020-09-07_01;108;139
2020-09-07T18:48:00-CME-001;3;9;0;N00W40;MULTI_2020-09-07_01;108;139
ICME_PSP_MOESTL_20200912_01;1;9;0;N00W40;MULTI_2020-09-07_01;108;139
HCME_A__20200930_01;0;10;0;-;MULTI_2020-09-30_01;107;138
ICME_Wind_MOESTL_20201005_01;1;10;0;-;MULTI_2020-09-30_01;107;138
HCME_A__20201006_01;0;11;0;-;MULTI_2020-10-06_01;106;137
2020-10-06T06:24:00-CME-001;3;11;0;-;MULTI_2020-10-06_01;106;137
ICME_BEPI_MOESTL_20201008_01;1;11;0;-;MULTI_2020-10-06_01;106;137
HCME_A__20201007_01;0;12;0;;MULTI_2020-10-07_01;105;136
ICME_BEPI_MOESTL_20201010_01;1;12;0;-;MULTI_2020-10-07_01;105;136
HCME_A__20201026_01;0;13;0;-;MULTI_2020-10-26_01;104;135
2020-10-27T03:39:00-CME-001;3;13;0;-;MULTI_2020-10-26_01;104;135
ICME_Wind_MOESTL_20201101_01;1;13;0;-;MULTI_2020-10-26_01;104;135
